Freq.	V(V1,V2)/I(R2)
Step Information: V=10p  (Run: 1/9)
4.08488488488488e+004	(8.53500692371207e+001dB,1.11448656328953e+002°)
4.08628628628628e+004	(8.52814591584027e+001dB,1.10647650747389e+002°)
4.08768768768768e+004	(8.52123761278234e+001dB,1.09885406270446e+002°)
4.08908908908908e+004	(8.51430580342480e+001dB,1.09159965382760e+002°)
4.09049049049048e+004	(8.50737111461993e+001dB,1.08469432147520e+002°)
4.09189189189188e+004	(8.50045135193769e+001dB,1.07811979825368e+002°)
4.09329329329329e+004	(8.49356181249488e+001dB,1.07185855969974e+002°)
4.09469469469469e+004	(8.48671557002948e+001dB,1.06589385480751e+002°)
4.09609609609609e+004	(8.47992373307624e+001dB,1.06020972022833e+002°)
4.09749749749749e+004	(8.47319567757685e+001dB,1.05479098159716e+002°)
4.09889889889889e+004	(8.46653925553674e+001dB,1.04962324487443e+002°)
4.10030030030029e+004	(8.45996098150864e+001dB,1.04469288008710e+002°)
4.10170170170169e+004	(8.45346619872844e+001dB,1.03998699942972e+002°)
4.10310310310310e+004	(8.44705922672883e+001dB,1.03549343131452e+002°)
4.10450450450450e+004	(8.44074349218892e+001dB,1.03120069165439e+002°)
4.10590590590590e+004	(8.43452164469279e+001dB,1.02709795340165e+002°)
